0.060914, 0.065158, 0.030586, 0.059896, 0.025509, 0.048011, 0.020907
0.056004, 0.072794, 0.039718, 0.062554, 0.026427, 0.034173, 0.032540
0.069391, 0.059265, 0.039229, 0.059691, 0.035368, 0.035849, 0.033914
0.069835, 0.062711, 0.023910, 0.051058, 0.035711, 0.023636, 0.037852
0.063452, 0.061983, 0.040072, 0.070183, 0.034957, 0.020119, 0.022672
0.069886, 0.063764, 0.039890, 0.057886, 0.029126, 0.039774, 0.038161
0.057241, 0.059843, 0.039880, 0.063225, 0.035089, 0.026545, 0.035311
0.060968, 0.060487, 0.039369, 0.065617, 0.034008, 0.030749, 0.025917
0.060120, 0.057433, 0.034575, 0.062819, 0.035612, 0.033906, 0.036932
0.048996, 0.057747, 0.035901, 0.057129, 0.033286, 0.044374, 0.026115
0.060775, 0.042797, 0.037782, 0.063471, 0.028015, 0.040727, 0.017344
0.059674, 0.052560, 0.035280, 0.045591, 0.035074, 0.035549, 0.041236
0.063362, 0.059320, 0.035491, 0.055707, 0.034634, 0.035742, 0.042065
0.064941, 0.051498, 0.026685, 0.044243, 0.034119, 0.040992, 0.037165
0.067247, 0.065758, 0.032995, 0.060827, 0.032609, 0.030902, 0.036049
0.058603, 0.064806, 0.034685, 0.062226, 0.032218, 0.033084, 0.040030
0.061908, 0.066390, 0.036940, 0.057526, 0.027240, 0.042601, 0.037320
0.063812, 0.071628, 0.038725, 0.066054, 0.027072, 0.023463, 0.034400
0.062418, 0.061112, 0.036560, 0.063714, 0.023334, 0.041073, 0.025323
0.064332, 0.058564, 0.034439, 0.060568, 0.032482, 0.024936, 0.034352
0.057353, 0.061724, 0.037552, 0.060461, 0.036709, 0.027803, 0.041085
0.056497, 0.063319, 0.037143, 0.067260, 0.028104, 0.033753, 0.037183
0.064610, 0.057951, 0.038373, 0.055047, 0.037243, 0.028074, 0.032622
0.056733, 0.052282, 0.031387, 0.057664, 0.036675, 0.045074, 0.040767
0.058574, 0.058814, 0.032128, 0.061615, 0.025712, 0.039021, 0.047639
0.044131, 0.056354, 0.030477, 0.056503, 0.029252, 0.042844, 0.041471
0.061510, 0.070101, 0.032013, 0.056867, 0.022790, 0.038701, 0.036140
0.055308, 0.063566, 0.029396, 0.059982, 0.037302, 0.035324, 0.033143
0.057306, 0.054426, 0.033544, 0.056531, 0.035292, 0.046515, 0.033139
0.058026, 0.056590, 0.033395, 0.069163, 0.029749, 0.030074, 0.043627
0.059475, 0.069010, 0.030071, 0.061914, 0.027914, 0.035601, 0.039169
